userResponseID,artworkID,numInteractions
81PfE8l9tbFhtvxOE6X5VOh2UpBiYgCO,60c0927e0ee8234e932e7a1d,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c08c580ee8234e932e7a18,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c0908cb5b26479a17d1b33,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c09225b5b26479a17d1b3a,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c0927e0ee8234e932e7a1d,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c09437b5b26479a17d1b3c,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c09476b84c4b312635d34c,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c094dcb78b241f4625bbb9,1
BZXf8rM1IAoDUtW01ShxYw8MxjHtGF5S,60c095321262e65eec197529,1
KL32ozS4irwGu3JtWd0x5p8AV9kXlS9I,60c0908cb5b26479a17d1b33,3
KL32ozS4irwGu3JtWd0x5p8AV9kXlS9I,60c09225b5b26479a17d1b3a,3
KL32ozS4irwGu3JtWd0x5p8AV9kXlS9I,60c0927e0ee8234e932e7a1d,3
KL32ozS4irwGu3JtWd0x5p8AV9kXlS9I,60c094dcb78b241f4625bbb9,1
P4M8Uto1UwzTd3OKOns3LZ7hIxBheAg1,60c0927e0ee8234e932e7a1d,1
P4M8Uto1UwzTd3OKOns3LZ7hIxBheAg1,60c09476b84c4b312635d34c,1
SUw10XRrB4A03Ral1MKas4sLgIW9P3lh,60c095321262e65eec197529,1
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c08c580ee8234e932e7a18,2
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c0908cb5b26479a17d1b33,2
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c09225b5b26479a17d1b3a,2
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c0927e0ee8234e932e7a1d,2
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c09476b84c4b312635d34c,1
ScOlinhmp6Rxo9aqywrKMR8J0S90qNQA,60c095321262e65eec197529,2
ZqNE3fNu8JXVIadgc5epXYofaOtgEE7F,60c08c580ee8234e932e7a18,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c08c580ee8234e932e7a18,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c09225b5b26479a17d1b3a,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c0927e0ee8234e932e7a1d,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c09437b5b26479a17d1b3c,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c09476b84c4b312635d34c,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c094dcb78b241f4625bbb9,1
aQIxJWU4S2YAOGA93ItHtmuEeNbhudnY,60c095321262e65eec197529,1
iCY4NVfyljZxazkltmZh5YiAnY2b3Rm4,60c09437b5b26479a17d1b3c,6
iCY4NVfyljZxazkltmZh5YiAnY2b3Rm4,60c094dcb78b241f4625bbb9,3
k5SXzdwN9UPY2FXUC1vavDtk3CykTKXR,60c09437b5b26479a17d1b3c,1
r6ojHpr4LeGQQcGcSXFGsFQVJzdGYwzE,60c0908cb5b26479a17d1b33,1
